Date,Open,High,Low,Close,Volume,Market Cap
2018-06-01,7500.7,7604.73,7407.34,7541.45,"4,921,460,224","128,725,854,692"
2018-05-31,7406.15,7608.9,7361.13,7494.17,"5,127,130,112","127,902,999,390"
2018-05-30,7469.73,7573.77,7313.6,7406.52,"4,922,540,032","126,391,893,474"
2018-05-29,7129.46,7526.42,7090.68,7472.59,"5,662,660,096","127,502,651,064"
2018-05-28,7371.31,7419.05,7100.89,7135.99,"5,040,600,064","121,747,389,422"
2018-05-27,7362.08,7381.74,7270.96,7368.22,"4,056,519,936","125,695,017,596"
2018-05-26,7486.48,7595.16,7349.12,7355.88,"4,051,539,968","125,469,061,263"
2018-05-25,7592.3,7659.14,7392.65,7480.14,"4,867,829,760","127,573,690,458"
2018-05-24,7561.12,7738.6,7331.14,7587.34,"6,049,220,096","129,385,391,552"
2018-05-23,8037.08,8054.66,7507.88,7557.82,"6,491,120,128","128,868,479,514"
2018-05-22,8419.87,8423.25,8004.58,8041.78,"5,137,010,176","137,104,106,176"
2018-05-21,8522.33,8557.52,8365.12,8418.99,"5,154,990,080","143,518,943,480"
2018-05-20,8246.99,8562.41,8205.24,8513.25,"5,191,059,968","145,109,512,565"
2018-05-19,8255.73,8372.06,8183.35,8247.18,"4,712,399,872","140,559,162,894"
2018-05-18,8091.83,8274.12,7974.82,8250.97,"5,764,190,208","140,607,667,610"
2018-05-17,8370.05,8445.54,8054.12,8094.32,"5,862,530,048","137,923,772,714"
2018-05-16,8504.41,8508.43,8175.49,8368.83,"6,760,220,160","142,587,497,878"
2018-05-15,8705.19,8836.19,8456.45,8510.38,"6,705,710,080","144,979,744,412"
2018-05-14,8713.1,8881.12,8367.97,8716.79,"7,364,149,760","148,480,275,422"
2018-05-13,8515.49,8773.55,8395.12,8723.94,"5,866,379,776","148,587,777,457"
2018-05-12,8441.44,8664.86,8223.5,8504.89,"6,821,380,096","144,841,040,789"
2018-05-11,9052.96,9052.96,8394.46,8441.49,"8,488,520,192","143,743,802,092"
2018-05-10,9325.96,9396.04,9040.52,9043.94,"6,906,699,776","153,988,453,198"
2018-05-09,9223.73,9374.76,9031.62,9325.18,"7,226,890,240","158,758,858,205"
2018-05-08,9380.87,9462.75,9127.77,9234.82,"7,415,869,952","157,202,142,973"
2018-05-07,9645.67,9665.85,9231.53,9373.01,"7,394,019,840","159,538,115,686"
2018-05-06,9845.31,9940.14,9465.25,9654.8,"7,222,280,192","164,316,605,278"
2018-05-05,9700.28,9964.5,9695.12,9858.15,"7,651,939,840","167,759,953,654"
2018-05-04,9695.5,9779.2,9585.96,9700.76,"8,217,829,888","165,062,796,742"
2018-05-03,9233.97,9798.33,9188.15,9743.86,"10,207,299,584","165,778,380,092"
2018-05-02,9104.6,9256.52,9015.14,9235.92,"7,558,159,872","157,119,854,754"
2018-05-01,9251.47,9255.88,8891.05,9119.01,"7,713,019,904","155,114,132,125"
2018-04-30,9426.11,9477.14,9166.81,9240.55,"8,673,920,000","157,163,847,314"
2018-04-29,9346.41,9531.49,9193.71,9419.08,"8,853,000,192","160,182,287,342"
2018-04-28,8939.27,9412.09,8931.99,9348.48,"7,805,479,936","158,963,068,374"
2018-04-27,9290.63,9375.47,8987.05,8987.05,"7,566,289,920","152,802,874,822"
2018-04-26,8867.32,9281.51,8727.09,9281.51,"8,970,559,488","157,793,327,246"
2018-04-25,9701.03,9745.32,8799.84,8845.74,"11,083,100,160","150,369,282,696"
2018-04-24,8934.34,9732.61,8927.83,9697.5,"10,678,800,384","164,833,256,250"
2018-04-23,8794.39,8958.55,8788.81,8930.88,"6,925,190,144","151,784,994,312"
2018-04-22,8925.06,9001.64,8779.61,8802.46,"6,629,899,776","149,585,589,886"
2018-04-21,8848.79,8997.57,8652.15,8895.58,"7,548,550,144","151,150,137,128"
2018-04-20,8286.88,8880.23,8244.54,8845.83,"8,438,110,208","150,287,113,368"
2018-04-19,8159.27,8298.69,8138.78,8294.31,"7,063,209,984","140,902,801,023"
2018-04-18,7944.43,8197.8,7886.01,8163.42,"6,529,909,760","138,661,092,884"
2018-04-17,8071.66,8285.96,7881.72,7902.09,"6,900,879,872","134,206,623,206"
2018-04-16,8337.57,8371.15,7925.73,8058.67,"5,631,309,824","136,849,408,643"
2018-04-15,7999.33,8338.42,7999.33,8329.11,"5,244,480,000","141,427,138,383"
2018-04-14,7874.67,8140.71,7846.0,7986.24,"5,191,430,144","135,589,384,440"
2018-04-13,7901.09,8183.96,7758.93,7895.96,"7,764,460,032","134,043,001,354"
